46.30.131.39 - - [01/Nov/2015:07:11:45 +0100] "GET /font-awesome/css/font-awesome.min.css HTTP/1.1" 304 174 "-" "Mozilla/4.0 (compatible;)"
66.249.78.240 - - [01/Nov/2015:07:15:41 +0100] "GET / HTTP/1.1" 200 14317 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
94.254.123.221 - - [01/Nov/2015:07:23:07 +0100] "GET / HTTP/1.1" 200 14317 "https://www.facebook.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0"
94.254.123.221 - - [01/Nov/2015:07:23:07 +0100] "GET /css/bootstrap.min.css HTTP/1.1" 200 117431 "http://www.400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0"
94.254.123.221 - - [01/Nov/2015:07:23:07 +0100] "GET /css/creative.css HTTP/1.1" 200 9971 "http://www.400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0"
94.254.123.221 - - [01/Nov/2015:07:23:07 +0100] "GET /css/animate.min.css HTTP/1.1" 200 53872 "http://www.400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0"
94.254.123.221 - - [01/Nov/2015:07:23:07 +0100] "GET /font-awesome/css/font-awesome.min.css HTTP/1.1" 200 24018 "http://www.400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0"
94.254.123.221 - - [01/Nov/2015:07:23:07 +0100] "GET /js/bootstrap.min.js HTTP/1.1" 200 35738 "http://www.400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0"
94.254.123.221 - - [01/Nov/2015:07:23:07 +0100] "GET /js/jquery.js HTTP/1.1" 200 96072 "http://www.400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0"
94.254.123.221 - - [01/Nov/2015:07:23:07 +0100] "GET /js/jquery.easing.min.js HTTP/1.1" 200 5849 "http://www.400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0"
94.254.123.221 - - [01/Nov/2015:07:23:07 +0100] "GET /js/jquery.fittext.js HTTP/1.1" 200 1358 "http://www.400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0"
94.254.123.221 - - [01/Nov/2015:07:23:07 +0100] "GET /js/wow.min.js HTTP/1.1" 200 8467 "http://www.400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0"
94.254.123.221 - - [01/Nov/2015:07:23:07 +0100] "GET /js/creative.js HTTP/1.1" 200 1555 "http://www.400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0"
94.254.123.221 - - [01/Nov/2015:07:23:07 +0100] "GET /img/makersAcademyLogo.png HTTP/1.1" 200 9193 "http://www.400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0"
94.254.123.221 - - [01/Nov/2015:07:23:07 +0100] "GET /font-awesome/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 200 57061 "http://www.400contacts.com/font-awesome/css/font-awesome.min.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0"
94.254.123.221 - - [01/Nov/2015:07:23:07 +0100] "GET /img/haganotext.jpeg HTTP/1.1" 200 2344037 "http://www.400contacts.com/css/creative.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0"
94.254.123.221 - - [01/Nov/2015:07:23:08 +0100] "GET /img/400contactsfavicon.png HTTP/1.1" 200 1540 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0"
83.94.254.147 - - [01/Nov/2015:07:38:58 +0100] "GET / HTTP/1.1" 200 14317 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13B143"
83.94.254.147 - - [01/Nov/2015:07:38:58 +0100] "GET /css/bootstrap.min.css HTTP/1.1" 200 117431 "http://400contacts.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13B143"
83.94.254.147 - - [01/Nov/2015:07:38:58 +0100] "GET /css/animate.min.css HTTP/1.1" 200 53872 "http://400contacts.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13B143"
83.94.254.147 - - [01/Nov/2015:07:38:58 +0100] "GET /font-awesome/css/font-awesome.min.css HTTP/1.1" 200 24018 "http://400contacts.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13B143"
83.94.254.147 - - [01/Nov/2015:07:38:58 +0100] "GET /css/creative.css HTTP/1.1" 200 9971 "http://400contacts.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13B143"
83.94.254.147 - - [01/Nov/2015:07:38:58 +0100] "GET /img/makersAcademyLogo.png HTTP/1.1" 200 9193 "http://400contacts.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13B143"
