173.192.79.101 - - [02/Nov/2015:00:17:24 +0100] "GET /robots.txt HTTP/1.1" 404 1359 "-" "ShowyouBot (http://showyou.com/crawler)"
173.192.79.101 - - [02/Nov/2015:00:17:25 +0100] "GET / HTTP/1.1" 200 14261 "-" "ShowyouBot (http://showyou.com/crawler)"
74.6.254.111 - - [02/Nov/2015:00:17:25 +0100] "GET /robots.txt HTTP/1.1" 404 1359 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
23.29.122.222 - - [02/Nov/2015:00:17:25 +0100] "HEAD / HTTP/1.1" 206 292 "-" "MetaURI API/2.0 +metauri.com"
74.6.254.111 - - [02/Nov/2015:00:17:25 +0100] "HEAD / HTTP/1.1" 200 224 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
23.29.122.222 - - [02/Nov/2015:00:17:25 +0100] "GET / HTTP/1.1" 206 14329 "-" "MetaURI API/2.0 +metauri.com"
54.241.198.78 - - [02/Nov/2015:00:17:25 +0100] "HEAD / HTTP/1.1" 200 280 "-" "Google-HTTP-Java-Client/1.17.0-rc (gzip)"
199.16.156.126 - - [02/Nov/2015:00:17:25 +0100] "GET /robots.txt HTTP/1.1" 404 1359 "-" "Twitterbot/1.0"
54.241.198.78 - - [02/Nov/2015:00:17:25 +0100] "HEAD / HTTP/1.1" 200 280 "-" "Google-HTTP-Java-Client/1.17.0-rc (gzip)"
199.16.156.126 - - [02/Nov/2015:00:17:26 +0100] "GET / HTTP/1.1" 200 14261 "-" "Twitterbot/1.0"
17.142.156.104 - - [02/Nov/2015:00:17:26 +0100] "GET / HTTP/1.1" 200 14317 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5 (Applebot/0.1; +http://www.apple.com/go/applebot)"
199.59.148.209 - - [02/Nov/2015:00:17:26 +0100] "GET /robots.txt HTTP/1.1" 404 1359 "-" "Twitterbot/1.0"
199.59.148.209 - - [02/Nov/2015:00:17:26 +0100] "GET / HTTP/1.1" 200 14261 "-" "Twitterbot/1.0"
52.3.216.48 - - [02/Nov/2015:00:17:43 +0100] "GET /robots.txt HTTP/1.1" 404 1359 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:28.0) Gecko/20100101 Firefox/28.0 (FlipboardProxy/1.1; +http://flipboard.com/browserproxy)"
