218.241.108.76 - - [02/Nov/2015:14:01:10 +0100] "GET / HTTP/1.1" 206 14329 "-" "Mozilla/5.0 (Linux; U; Android 2.2; en-us; Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
193.240.40.163 - - [02/Nov/2015:14:05:26 +0100] "GET / HTTP/1.1" 200 14317 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.71 Safari/537.36"
193.240.40.163 - - [02/Nov/2015:14:05:26 +0100] "GET /css/bootstrap.min.css HTTP/1.1" 200 117431 "http://www.400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.71 Safari/537.36"
193.240.40.163 - - [02/Nov/2015:14:05:26 +0100] "GET /css/creative.css HTTP/1.1" 200 9971 "http://www.400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.71 Safari/537.36"
193.240.40.163 - - [02/Nov/2015:14:05:26 +0100] "GET /font-awesome/css/font-awesome.min.css HTTP/1.1" 200 24018 "http://www.400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.71 Safari/537.36"
193.240.40.163 - - [02/Nov/2015:14:05:26 +0100] "GET /css/animate.min.css HTTP/1.1" 200 53872 "http://www.400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.71 Safari/537.36"
193.240.40.163 - - [02/Nov/2015:14:05:26 +0100] "GET /js/bootstrap.min.js HTTP/1.1" 200 35738 "http://www.400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.71 Safari/537.36"
193.240.40.163 - - [02/Nov/2015:14:05:26 +0100] "GET /js/jquery.js HTTP/1.1" 200 96072 "http://www.400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.71 Safari/537.36"
193.240.40.163 - - [02/Nov/2015:14:05:27 +0100] "GET /js/jquery.easing.min.js HTTP/1.1" 200 5849 "http://www.400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.71 Safari/537.36"
193.240.40.163 - - [02/Nov/2015:14:05:27 +0100] "GET /js/creative.js HTTP/1.1" 200 1555 "http://www.400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.71 Safari/537.36"
193.240.40.163 - - [02/Nov/2015:14:05:27 +0100] "GET /js/wow.min.js HTTP/1.1" 200 8467 "http://www.400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.71 Safari/537.36"
193.240.40.163 - - [02/Nov/2015:14:05:27 +0100] "GET /js/jquery.fittext.js HTTP/1.1" 200 1358 "http://www.400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.71 Safari/537.36"
193.240.40.163 - - [02/Nov/2015:14:05:27 +0100] "GET /img/makersAcademyLogo.png HTTP/1.1" 200 9193 "http://www.400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.71 Safari/537.36"
193.240.40.163 - - [02/Nov/2015:14:05:27 +0100] "GET /font-awesome/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 200 57061 "http://www.400contacts.com/font-awesome/css/font-awesome.min.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.71 Safari/537.36"
193.240.40.163 - - [02/Nov/2015:14:05:27 +0100] "GET /img/haganotext.jpeg HTTP/1.1" 200 2344037 "http://www.400contacts.com/css/creative.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.71 Safari/537.36"
88.80.180.50 - - [02/Nov/2015:14:27:44 +0100] "GET / HTTP/1.1" 200 14317 "https://t.co/pvyxG5tkOT" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"
88.80.180.50 - - [02/Nov/2015:14:27:44 +0100] "GET /css/bootstrap.min.css HTTP/1.1" 200 117431 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"
