108.174.5.116 - - [02/Nov/2015:17:23:50 +0100] "GET / HTTP/1.1" 200 14317 "-" "LinkedInBot/1.0 (compatible; Mozilla/5.0; Jakarta Commons-HttpClient/3.1 +http://www.linkedin.com)"
108.174.5.115 - - [02/Nov/2015:17:23:51 +0100] "HEAD /img/400contactsfavicon.png HTTP/1.1" 200 278 "-" "LinkedInBot/1.0 (compatible; Mozilla/5.0; Jakarta Commons-HttpClient/3.1 +http://www.linkedin.com)"
83.241.129.195 - - [02/Nov/2015:17:39:20 +0100] "GET / HTTP/1.1" 304 174 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36"
83.241.129.195 - - [02/Nov/2015:17:39:20 +0100] "GET /css/bootstrap.min.css HTTP/1.1" 304 175 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36"
83.241.129.195 - - [02/Nov/2015:17:39:20 +0100] "GET /css/animate.min.css HTTP/1.1" 304 174 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36"
83.241.129.195 - - [02/Nov/2015:17:39:20 +0100] "GET /js/jquery.js HTTP/1.1" 304 175 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36"
83.241.129.195 - - [02/Nov/2015:17:39:20 +0100] "GET /css/creative.css HTTP/1.1" 304 174 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36"
83.241.129.195 - - [02/Nov/2015:17:39:20 +0100] "GET /js/jquery.easing.min.js HTTP/1.1" 304 174 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36"
83.241.129.195 - - [02/Nov/2015:17:39:20 +0100] "GET /js/bootstrap.min.js HTTP/1.1" 304 174 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36"
83.241.129.195 - - [02/Nov/2015:17:39:20 +0100] "GET /font-awesome/css/font-awesome.min.css HTTP/1.1" 304 174 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36"
83.241.129.195 - - [02/Nov/2015:17:39:20 +0100] "GET /js/jquery.fittext.js HTTP/1.1" 304 173 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36"
83.241.129.195 - - [02/Nov/2015:17:39:21 +0100] "GET /js/wow.min.js HTTP/1.1" 304 174 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36"
83.241.129.195 - - [02/Nov/2015:17:39:21 +0100] "GET /js/creative.js HTTP/1.1" 304 173 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36"
83.241.129.195 - - [02/Nov/2015:17:39:21 +0100] "GET /img/makersAcademyLogo.png HTTP/1.1" 304 174 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36"
83.241.129.195 - - [02/Nov/2015:17:39:21 +0100] "GET /img/haganotext.jpeg HTTP/1.1" 304 176 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36"
83.241.129.195 - - [02/Nov/2015:17:39:21 +0100] "GET /img/400contactsfavicon.png HTTP/1.1" 200 1540 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36"
52.20.168.170 - - [02/Nov/2015:17:52:39 +0100] "GET /robots.txt HTTP/1.1" 404 1363 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:28.0) Gecko/20100101 Firefox/28.0 (FlipboardProxy/1.1; +http://flipboard.com/browserproxy)"
52.20.168.170 - - [02/Nov/2015:17:52:39 +0100] "GET / HTTP/1.1" 200 14261 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:28.0) Gecko/20100101 Firefox/28.0 (FlipboardProxy/1.1; +http://flipboard.com/browserproxy)"
62.209.162.120 - - [02/Nov/2015:17:54:17 +0100] "GET / HTTP/1.1" 200 14317 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36"
62.209.162.120 - - [02/Nov/2015:17:54:17 +0100] "GET /css/creative.css HTTP/1.1" 200 9971 "http://400contacts.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36"
62.209.162.120 - - [02/Nov/2015:17:54:17 +0100] "GET /font-awesome/css/font-awesome.min.css HTTP/1.1" 200 24018 "http://400contacts.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36"
